m,targetID,KID,dimerID,Linf,MSE,goodenough,targetID_name
16,0,7,20,1.082288593590921,6.015383707717344,False,AND
16,1,0,67,1.6119452610826113,8.055043283524322,False,NAND
16,7,6,83,2.0,1.9315176586090443,False,AeqB
16,6,4,85,2.0,12.0,False,ANOTB
16,7,9,81,2.0,1.880932907643013,False,AeqB
16,0,3,106,1.7556150342671444,8.600076641117122,False,AND
16,3,9,70,2.0,13.184821723185829,False,XOR
16,2,5,7,2.0,7.923454982283651,False,OR
16,7,1,45,2.0,0.9509486159609457,False,AeqB
16,1,9,4,2.0,32.52932188145352,False,NAND
16,4,4,67,1.3725416894064644,7.911235645000701,False,NOR
16,6,3,128,1.0818851921365038,5.406001323842189,False,ANOTB
16,2,4,40,2.0,36.0,False,OR
16,7,1,110,2.0,1.0115945678584979,False,AeqB
16,8,2,46,1.8890339598732901,3.589042762348471,False,AneqB
16,5,6,29,2.0,16.647171486518108,False,XNOR
16,1,5,120,1.5610261250864008,8.260410614833814,False,NAND
16,3,5,42,1.1925757962465269,11.869582629173712,False,XOR
16,7,6,42,2.0,1.6740225790566245,False,AeqB
16,0,7,107,2.0,12.0,False,AND
16,10,9,71,3.9603960396039604,62.34003023183917,False,ratio
16,10,5,21,3.9603960396039604,62.34003023183917,False,ratio
16,4,9,7,2.0,9.826865573248615,False,NOR
16,2,9,15,2.0,28.48317278661518,False,OR
16,4,8,51,1.2897925161363117,7.370867431573285,False,NOR
16,0,3,62,2.0,12.0,False,AND
16,8,7,44,1.7391497884451201,7.664265257465709,False,AneqB
16,9,4,15,1.5967994638910592,2.343927557043225,False,DoubleBandpass
16,5,3,130,2.0,14.186281165451739,False,XNOR
16,9,9,27,2.0,3.0,False,DoubleBandpass
16,3,4,97,1.6037551077531962,11.97853239279158,False,XOR
16,0,7,79,2.0,8.842694740051032,False,AND
16,3,6,18,2.0,13.690085943373683,False,XOR
16,7,4,125,2.0,2.0,False,AeqB
16,8,5,122,1.7949088032969256,3.636531466205428,False,AneqB
16,8,5,89,1.8717067262322244,3.5378751925666236,False,AneqB
16,2,2,111,2.0,36.0,False,OR
16,0,7,78,2.0,12.0,False,AND
16,1,2,50,1.628626594397997,7.600982170049908,False,NAND
16,9,8,75,1.8172577936324812,2.681965837912548,False,DoubleBandpass
16,0,1,45,1.761511215819199,5.873942163841915,False,AND
16,8,4,26,3.2632960353481155,27.745849093001592,False,AneqB
16,1,6,86,1.7673133193353523,6.074732158946413,False,NAND
16,2,7,103,1.3331275185051061,7.780952472488445,False,OR
16,9,0,3,2.0,3.0,False,DoubleBandpass
16,10,6,82,3.9603960396039604,62.34003023183917,False,ratio
16,8,8,97,1.8662511245695057,3.505782295258969,False,AneqB
16,7,8,78,2.0,2.0,False,AeqB
16,9,6,21,2.0,3.0,False,DoubleBandpass
16,6,4,110,1.8597541260885597,7.731367263704922,False,ANOTB
16,9,3,54,1.854768923662987,2.6473956992912764,False,DoubleBandpass
16,1,3,32,2.0,36.0,False,NAND
16,1,6,11,2.599753763419596,29.130777656748354,False,NAND
16,2,7,17,2.0,36.0,False,OR
16,9,8,44,1.8528137024835436,2.7673624543990507,False,DoubleBandpass
16,3,6,8,2.0,13.120923177593767,False,XOR
16,0,6,4,2.0,12.0,False,AND
16,4,4,108,0.4776828558603359,0.05678155611906058,True,NOR
16,3,7,87,2.0,13.031806041424344,False,XOR
16,3,6,83,1.0104263746033415,11.829459462915187,False,XOR
16,3,7,72,2.0,12.9948450484368,False,XOR
16,3,9,95,1.5175147915688787,12.448983843455261,False,XOR
16,2,3,9,2.0,6.677882699853295,False,OR
16,2,9,59,1.4179188846806943,8.968109661634438,False,OR
16,9,1,21,1.736445900444246,2.5688351390025868,False,DoubleBandpass
16,8,9,11,2.5475407444755644,29.066711982688748,False,AneqB
16,5,4,3,2.0,19.10908454667569,False,XNOR
16,2,5,17,2.0,36.0,False,OR
16,0,8,107,2.0,12.0,False,AND
16,2,0,36,2.0,36.0,False,OR
16,0,8,21,2.0,12.0,False,AND
16,10,1,91,2.3204982532371883,11.866068164802725,False,ratio
16,2,4,52,1.3476626860088345,6.633940891901162,False,OR
16,1,0,74,2.0,36.0,False,NAND
16,4,6,44,1.476596692035493,2.5854718821979343,False,NOR
16,4,2,65,1.1955860950923127,6.448503677333598,False,NOR
16,5,5,121,1.1810893086492977,11.740618494343442,False,XNOR
16,0,3,84,1.4982912984490429,9.023045122873235,False,AND
16,8,4,96,1.8756972710002757,3.3477327517942954,False,AneqB
16,7,7,10,2.0,1.4614746293289607,False,AeqB
16,0,9,127,2.0,11.577196136403195,False,AND
16,4,8,58,1.055604943481557,2.9345153274044287,False,NOR
16,3,3,103,1.2111956083081026,12.064008726602998,False,XOR
16,8,9,73,1.901222845213902,3.502153300002677,False,AneqB
16,5,3,26,2.0,14.423436788157842,False,XNOR
16,10,9,19,3.9603960396039604,54.920079694761235,False,ratio
16,6,1,124,1.5040087266946345,8.978892613259237,False,ANOTB
16,5,6,105,1.0993889263407906,12.007413070812895,False,XNOR
16,7,3,109,1.878095369415322,1.8413920683197753,False,AeqB
16,0,1,41,1.5609500175227335,8.684259292202169,False,AND
16,10,1,31,1.8721266709858453,11.395743628202789,False,ratio
16,9,3,63,2.0,3.0,False,DoubleBandpass
16,0,2,83,1.7872552199096159,6.898352186779505,False,AND
16,4,0,68,1.35639307620484,6.911109003018296,False,NOR
16,10,8,103,3.9603960396039604,62.34003023183917,False,ratio
16,2,8,80,2.0,36.0,False,OR
16,10,7,7,1.510182881969488,3.589723095875307,False,ratio
