m,targetID,used,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
8,0,,0.0010767663080997604,0.0010765811419783634,0.0010762714251085679,0.0010757332298622347,0.0010747320233292464,0.0010725714684454717,0.0010692728989619073,0.0010666252961393052,0.0010652205797965235,0.001064428424174658,0.0010641730085473703,0.001064417608045843,0.001065200116521106,0.0010661790549837604,0.0010678942526915036,0.001070211904802991,0.0010735092811753704,0.0010792290284862645,0.0010872141608844774,0.0011005589916128864,0.0011217264647859632,0.0011499461719343734,0.0011883504690407113,0.0012467807193417698,0.0013363108991765445,0.0014733762908612936,0.0017593284741693684,0.0025293960974737064,0.0055550877814835855,0.04161698486946704
8,1,,0.001051205205401411,0.0010512265353986175,0.0010512619238392383,0.0010513047353324764,0.00105136437545613,0.0010514415578207882,0.001051546174455684,0.0010516886973493613,0.00105189147607355,0.0010521880029925029,0.001052616956994134,0.0010532389269963763,0.001054233624373201,0.001056185164476189,0.001061194829517056,0.001070793771580936,0.0010867612212525795,0.001111848385449389,0.0011526678117512765,0.0012189213533461284,0.0013248105365594675,0.001511132142275579,0.0018570969573702212,0.0024673892188675733,0.0035015437531788866,0.005347318187475822,0.00933673194200388,0.020590642710116815,0.075816327106209,0.17034670613527708
8,2,True,0.0010472908734805912,0.0010472910953850105,0.0010472914538917357,0.0010472920254396857,0.0010472929287305263,0.0010472943319705756,0.0010472965031390977,0.0010472999155211806,0.0010473053464120448,0.0010473139666411046,0.001047327601186252,0.001047349085715655,0.0010473856111016973,0.0010474421595486078,0.001047530467262386,0.0010476698275370296,0.001047901103579075,0.001048283935021135,0.0010525328524827067,0.0010721984858038565,0.0011151707036266161,0.0012020813500310313,0.0014148541502954116,0.0021780034827817143,0.00449677972818342,0.011661692082572037,0.043872345682855626,0.36918986950254873,2.0797008089481386,3.9432692477372857
8,3,,0.0010186395370877692,0.001018639624960247,0.0010186397664949086,0.0010186399944959266,0.0010186403618718226,0.0010186409540435956,0.0010186419087616142,0.0010186434478388932,0.0010186459295186505,0.0010186499314793491,0.0010186563912169995,0.0010186668479489473,0.0010186840003871282,0.0010187118095514394,0.0010187569065972452,0.0010188305497949035,0.0010189512419516765,0.0010191524857571914,0.001020749807833934,0.0010317261882837477,0.0010584792552923074,0.0011396777750315992,0.001366785754956354,0.0021590176608274297,0.007203845042933445,0.040336442514781023,0.6180435994621813,7.845312409485,20.93042517591254,37.89970604621922
8,4,,0.0010046324180048524,0.0010046324538371557,0.001004632511538134,0.0010046326044561584,0.001004632754089334,0.0010046329950659319,0.0010046333831675884,0.0010046340082789295,0.0010046350152627245,0.0010046366376546727,0.001004639252042144,0.0010046434658661683,0.0010046502594888672,0.0010046612169649334,0.0010046789035565754,0.0010047075372716563,0.0010047547474533417,0.0010048326437530417,0.0010052601998366806,0.001010157474875282,0.0010238671714285854,0.001081491274857113,0.0012536605774722432,0.002014754351836572,0.013725903215030281,0.6937872960557822,20.124519360905047,59.85965486195929,116.37185496482117,194.98257302115246
8,5,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00100002086228383,0.0010010384428578577,0.0010046033921550295,0.0010159177139129436,0.0010720024365254803,0.0014499975808733106,0.3465796412454785,26.750071358633694,73.07439571970099,145.9319315101252,259.24254922484675,433.0147483282935
8,6,True,0.002147407476334932,0.002147456740462309,0.002147536085801932,0.0021476634947405924,0.0021478689615103447,0.0021481996955949167,0.002148737120393486,0.0021497017438017623,0.0021514779347737703,0.00215466462977028,0.0021593448791916367,0.0021668593074794626,0.002180171643362221,0.0022000012189463346,0.0022350374379479093,0.002306837626055106,0.0024701023619155132,0.0028421693368552224,0.00373678075256295,0.005622721229718412,0.009885862096532047,0.017268662037728862,0.025082340070621066,0.026027734355471562,0.017575068496164973,0.008076833825473827,0.0038500611288556376,0.002201351325741082,0.0015609607156952224,0.0013110422763406451
8,7,,0.0010675557359143073,0.0010678032643356378,0.001068267948437395,0.0010688782691955765,0.0010697123114143954,0.0010708350762477837,0.0010724312275739469,0.0010748677784953662,0.0010790894149202296,0.0010896513843161532,0.0011115833697904714,0.0011502570033681792,0.0012142374687435058,0.0013194182931569095,0.0014799631947904014,0.0017256499540131743,0.0021389228418287843,0.002896584935888086,0.004251597783993926,0.006500972546631363,0.010180912854671329,0.015524435315163407,0.021241437660269296,0.02584621121250405,0.02996199820107167,0.03370723810412429,0.037215186274184985,0.04028305973555267,0.04297557657491145,0.045550825208399245
8,8,,0.0010750887408369162,0.0010750902303760695,0.0010750926252951144,0.0010750964689371662,0.001075102594757623,0.0010751123441747647,0.0010751278619706458,0.0010751526539357634,0.001075548121997496,0.0010771320711768634,0.0010797845009887078,0.001083772909389181,0.0010905791947634959,0.0011136301445877582,0.0011854462660296052,0.001331587071058766,0.0016026667045296946,0.002092351931802624,0.0029582612090201725,0.004468811106575957,0.007374305008672975,0.014911592951866077,0.03568960103277485,0.07011870249049702,0.10928131912604566,0.15715819303405296,0.21657292166721331,0.28931614711731085,0.37773149854147,0.483310377810605
8,9,,0.0010408972072492835,0.0010408976017739556,0.0010408982373150124,0.0010408992613209188,0.0010409009142287606,0.0010409036042450038,0.0010409079383440318,0.001040914902073282,0.0010409261190518783,0.0010409442297011613,0.0010409735342777296,0.0010410251350073273,0.0010411093620057192,0.0010448118771423838,0.001072338987346551,0.0011330426540405764,0.00123502474390057,0.0013899268361861606,0.0016594550600490055,0.0022961063204199115,0.0039007535393533943,0.008183253028765968,0.026730301937583186,0.11941938789989487,0.31933817657936525,0.7155783079095783,1.539210100267317,3.3044175364316692,6.85666329518515,12.241978295106517
