m,targetID,KID,dimerID,Linf,MSE,goodenough,targetID_name
8,2,86,29,1.528899007819798,9.260637051267972,False,OR
8,9,91,13,2.0,3.0,False,DoubleBandpass
8,4,60,21,1.2782225227386614,1.4540041329613176,False,NOR
8,7,74,18,2.0,2.0,False,AeqB
8,7,79,33,2.0,2.0,False,AeqB
8,4,62,21,1.113367774838789,2.1960152778378776,False,NOR
8,0,99,15,2.0,9.218909377125458,False,AND
8,1,20,0,2.0,34.008639799819,False,NAND
8,3,37,31,1.018511759030273,12.0030332187672,False,XOR
8,6,2,35,2.0,11.3367693206449,False,ANOTB
8,9,89,16,1.7610307848363034,2.613631483476303,False,DoubleBandpass
8,3,18,26,2.0,13.781722250565736,False,XOR
8,2,44,12,2.0,36.0,False,OR
8,0,6,3,2.0,12.0,False,AND
8,2,5,34,1.152907106392346,3.5846485404691353,False,OR
8,7,63,27,2.0,1.9585000386587585,False,AeqB
8,1,4,17,2.0,36.0,False,NAND
8,8,34,10,2.0,27.33036473477935,False,AneqB
8,4,31,17,1.4439147735569366,8.37932076313035,False,NOR
8,2,91,14,2.0,7.4784249667723435,False,OR
8,6,94,19,1.3878487423980594,8.221230639724949,False,ANOTB
8,10,92,8,3.9603960396039604,62.235311626776216,False,ratio
8,9,83,7,1.7503047294889793,2.59688181654701,False,DoubleBandpass
8,7,33,8,2.0,2.4388617309704554,False,AeqB
8,7,60,9,2.0,2.0,False,AeqB
8,0,93,7,1.1843375576627895,5.949740296619322,False,AND
8,1,20,27,2.0,9.832101720796588,False,NAND
8,7,27,5,1.817099203244875,1.790017460749661,False,AeqB
8,8,36,32,2.0782271786317663,12.424227115598674,False,AneqB
8,10,22,24,1.8809320568395154,8.88139820482148,False,ratio
8,9,56,1,2.0,3.0,False,DoubleBandpass
8,5,22,3,2.0,24.0,False,XNOR
8,5,59,31,1.0115556600913882,11.997789144444178,False,XNOR
8,5,52,11,2.0,22.655102615462965,False,XNOR
8,10,67,24,3.9603960396039604,62.34003023183917,False,ratio
8,4,6,28,1.2134537254263429,6.272020377813455,False,NOR
8,0,57,3,2.0,9.053838640638872,False,AND
8,8,77,35,2.0,41.34853125694622,False,AneqB
8,9,27,28,1.829297893307023,2.7177621269506287,False,DoubleBandpass
8,6,12,4,1.265866054806986,5.085721261393853,False,ANOTB
8,3,5,20,2.0,24.0,False,XOR
8,4,59,32,1.5065185138266708,8.221088786010519,False,NOR
8,2,53,16,1.4858188013078877,8.906309887218471,False,OR
8,0,52,8,4.308931001142794,22.76437455003655,False,AND
8,4,78,5,2.0,12.0,False,NOR
8,7,52,16,2.0,1.8662679477678692,False,AeqB
8,0,6,17,2.0,12.0,False,AND
8,9,20,1,3.6242958636475224,4.82618657309381,False,DoubleBandpass
8,8,20,0,2.162461880626332,37.99025619686305,False,AneqB
8,2,1,10,2.0,18.785460900176027,False,OR
8,4,96,9,2.0,12.0,False,NOR
8,9,5,13,1.77619103060881,2.5973187696124214,False,DoubleBandpass
8,0,72,16,2.0,12.0,False,AND
8,5,93,19,2.0,24.0,False,XNOR
8,1,51,13,2.0,17.5691050509507,False,NAND
8,9,67,16,2.0,3.0,False,DoubleBandpass
8,2,25,6,2.0,36.0,False,OR
8,2,67,19,2.0,36.0,False,OR
8,8,73,16,1.8994866179395973,4.926376228012306,False,AneqB
8,10,62,33,3.223337181321698,37.69136648543352,False,ratio
8,4,78,33,1.1066364006198706,5.529037753767916,False,NOR
8,6,22,2,1.616346067799999,1.7371939017904368,False,ANOTB
8,1,80,17,2.0,12.047105938723652,False,NAND
8,2,3,18,2.0,36.0,False,OR
8,1,1,19,1.6197569093270914,8.600409249256359,False,NAND
8,5,23,22,2.0,24.0,False,XNOR
8,5,64,27,2.0,13.023097302556023,False,XNOR
8,1,8,20,2.0,36.0,False,NAND
8,5,33,27,1.049867442066715,12.008565413290315,False,XNOR
8,3,91,30,1.436786381547726,12.25346581467732,False,XOR
8,8,31,24,2.0,44.0,False,AneqB
8,0,20,31,2.0,7.653459427465378,False,AND
8,1,47,2,2.0,33.29242222278933,False,NAND
8,7,81,4,2.0,1.700758899045658,False,AeqB
8,4,22,4,2.0,9.731423355285399,False,NOR
8,10,65,13,3.9603960396039604,58.83831728078456,False,ratio
8,2,54,21,1.414985002162473,12.040824805604231,False,OR
8,10,85,34,2.072636706730183,20.43376657130776,False,ratio
8,0,89,19,2.0,9.716492203227146,False,AND
8,6,24,2,2.0,12.0,False,ANOTB
8,7,80,15,2.0,2.0,False,AeqB
8,4,73,16,1.0772807874330512,5.793315004713406,False,NOR
8,1,92,26,2.0,9.18469446688818,False,NAND
8,0,97,34,1.5256481108211544,8.98486327308955,False,AND
8,3,71,21,1.2735242174407948,11.124196338178498,False,XOR
8,3,55,11,2.0,24.0,False,XOR
8,8,32,22,2.0,44.0,False,AneqB
8,7,56,26,2.0,2.0,False,AeqB
8,0,92,11,1.0027573033772534,6.001502715674181,False,AND
8,8,3,34,1.8679720328795943,3.577486483499605,False,AneqB
8,9,71,17,2.0,3.0,False,DoubleBandpass
8,8,77,18,2.0,44.0,False,AneqB
8,10,31,5,1.4136977017561905,4.0238542778366595,False,ratio
8,4,43,34,1.2338890520514605,1.0637431414597047,False,NOR
8,8,33,5,2.0,44.0,False,AneqB
8,3,21,33,1.0088207511108933,11.996079118236397,False,XOR
8,5,97,18,2.0,24.0,False,XNOR
8,8,64,19,2.0,44.0,False,AneqB
8,9,69,27,1.8263286442068196,2.7138872149971043,False,DoubleBandpass
8,8,94,34,1.8336926267686298,3.6666650558225116,False,AneqB
8,7,80,18,1.916858681710914,1.8952253638478567,False,AeqB
8,9,81,10,2.0,3.0,False,DoubleBandpass
8,1,74,14,2.0,36.0,False,NAND
8,7,30,14,2.0,1.6758953976437818,False,AeqB
8,7,85,30,2.0,1.98353258438882,False,AeqB
8,3,22,18,2.0,24.0,False,XOR
8,0,23,14,2.0,10.218963293027224,False,AND
